episode,timestep,raw_reward
1,1,-100.44034050619639
2,64,-111.6851851857848
3,161,-112.96629863651829
4,380,-133.4280263087364
5,804,-141.99204059742732
6,900,-113.38199660574071
7,1000,-103.71122449843254
8,1139,-120.1853463928213
9,1197,-113.28542322303836
10,1275,-111.0562424554825
11,1341,-112.14923514457772
12,1456,-114.05645889738493
13,1590,-113.35462215430748
14,1647,-111.89594464804861
15,1698,-111.74539391148558
16,1759,-112.27564955758805
17,1809,-112.54894815596691
18,1877,-113.41703640160345
19,1948,-112.29206755245566
20,2000,-107.19056687169245
21,2049,-111.94260544892622
22,2156,-118.89411843173187
23,2591,-150.10363777859612
24,2738,-115.50588319162472
25,3000,-127.39371619991547
26,3500,-68.09494518549654
27,3566,-112.45730179940787
28,4000,-140.05287380464105
29,4228,-122.60229079931594
30,4446,-117.21436559738952
31,4613,-117.76660885203664
32,4771,-122.77266327350816
33,5000,-109.16794261197117
34,5237,-120.16296027612086
35,5341,-121.9068936506312
36,5537,-117.55570039998524
37,5684,-115.35732980607891
38,6000,-113.40436062371208
39,6101,-120.82448968635893
40,6240,-115.5492252692587
41,6580,-133.46869205496486
42,7000,-135.44667197429183
43,7265,-128.60831306500415
44,7400,-121.50708375720087
45,7562,-120.1674622600909
46,8000,-133.19607148914724
47,8500,-51.64550310274584
48,8596,-120.81256878773141
49,8737,-117.21175119738473
50,9000,-110.44486110158297
51,9220,-118.96213801532483
52,9633,-125.17181766211974
53,9926,-138.78459807680565
54,10000,-110.68521044249471
55,10195,-122.78164867895126
56,10344,-119.19104685694624
57,10844,-43.74729256624502
58,11000,-109.81528786332638
59,11359,-144.36967717978285
60,11555,-120.78223759528272
61,12000,-186.73786393812946
62,12214,-150.68193427442395
63,12451,-130.2017817241407
64,12662,-154.44361457839892
65,12822,-119.24647903277511
66,13000,-108.2973393229436
67,13125,-121.31354444186925
68,13205,-115.82101937866243
69,13303,-119.40637005077966
70,13415,-121.76085140275798
71,13487,-117.2042556557719
72,13786,-127.90435960292166
73,13851,-114.10260767842567
74,14000,-105.6003943843256
75,14140,-115.07824714434427
76,14219,-118.0495075457369
77,14322,-114.99841158861219
78,14822,-48.25583606766446
79,15000,-111.38196907063745
80,15169,-138.33149335193485
81,15306,-117.36022700526848
82,15475,-118.06075368802342
83,15975,-40.97297245404376
84,16000,-101.5843733185097
85,16429,-133.77879254309846
86,16624,-122.22389223836299
87,16804,-118.23379287213739
88,17000,-121.91047523490221
89,17322,-120.99494117921327
90,17393,-115.19422083959282
91,17611,-124.76326468804581
92,18000,-116.54859265112124
93,18479,-160.44639486877446
94,18979,-16.910681458079566
95,19000,-101.31029685042805
96,19113,-115.93030006383103
97,19613,-21.253566862579177
98,19799,-125.57194356548123
99,20000,-120.3431561844647
100,20104,-121.7725651542172
101,20604,-15.13665475934407
102,20794,-119.97071499781325
103,21000,-116.96239702347933
104,21156,-139.60002715306888
105,21307,-116.03221329987882
106,21807,-17.02659814297334
107,21975,-117.13336464793704
108,22000,-101.16314303406703
109,22217,-126.30259653996087
110,22717,-60.02437305093118
111,23000,-109.06244880687237
112,23500,-33.108717891684115
113,23869,-131.07022736098972
114,24000,-104.77148617977727
115,24500,-72.60725764164584
116,24833,-139.21484999432124
117,25000,-113.26586421374621
118,25346,-134.78622504254972
119,25510,-119.88754806007981
120,26000,-119.06240859412375
121,26500,-50.16559136796852
122,27000,-125.71501759826536
123,27073,-116.95479073460697
124,27233,-117.69185070802288
125,27513,-122.5326995761282
126,28000,-123.85773609251302
127,28069,-116.5206555385521
128,28266,-121.07097043162393
129,28766,-45.99844333347062
130,29000,-120.35098968790417
131,29223,-117.11506515079003
132,29723,-21.935434112064463
133,29902,-122.65483911218436
134,30000,-109.9264941926502
135,30184,-117.72706605313319
136,30631,-148.66424591864285
137,30825,-118.98568767863276
138,31005,-108.10187160019112
139,31206,-141.31748971673596
140,31706,-15.26441551795043
141,31940,-129.82973003507112
142,32000,-102.76290867781313
143,32500,-40.53836303572182
144,32591,-119.4919470727595
145,32691,-118.84393390433897
146,32837,-125.93732572138484
147,33000,-127.50319463717761
148,33500,-98.76227146258945
149,33700,-142.65240929440773
150,33791,-124.33731844550964
151,34000,-128.90406713569251
152,34204,-125.90272760314002
153,34448,-129.92505865671055
154,34948,-34.83899892103196
155,35000,-107.06141223325032
156,35182,-122.51635042894996
157,35306,-116.8372549024284
158,35806,-16.9521177351038
159,36000,-107.04064272068096
160,36319,-139.9372029395977
161,36699,-136.74785401607866
162,37000,-111.84357153515369
163,37332,-136.9102906592966
164,37659,-140.73146243727382
165,37742,-119.39504476468238
166,37970,-127.74036363231465
167,38000,-105.11987588868362
168,38500,-86.20465499541747
169,38777,-132.40116035035652
170,38952,-121.57909358446494
171,39000,-101.79671011751832
172,39071,-115.45722978453881
173,39275,-124.49087407584925
174,39398,-131.71189483188454
175,39642,-128.5694145599276
176,39772,-126.69262539658469
177,40000,-119.24162336552095
178,40500,-70.67512741773574
179,41000,-140.43839431226098
180,41066,-115.54959227719036
181,41349,-133.3316591635022
182,41550,-121.12165932044782
183,42000,-114.2123102043027
184,42137,-117.19880609684289
185,42637,-57.26327292683297
186,43000,-125.39477036764887
187,43272,-123.6894184804177
188,43617,-124.1415788847595
189,44000,-125.43780394812678
190,44466,-125.0240839741818
191,44966,-13.153932278315565
192,45000,-103.27722668865215
193,45500,-58.96999430827647
194,45798,-135.553336454415
195,46000,-110.91298943056852
196,46500,-13.475305397760408
197,46691,-121.40903881231702
198,46851,-116.4602597930312
199,47000,-120.09855467715792
200,47389,-129.32036721126298
201,47806,-142.6152488730102
202,47982,-119.39114593945082
203,48000,-100.9116212784688
204,48125,-116.74825550965731
205,48314,-127.02484754381757
206,48511,-124.94661262129432
207,48696,-118.6188664435641
208,49000,-111.31076590817007
209,49500,-14.22709172469094
210,49663,-120.79677222586317
211,49904,-131.90435153163324
212,50000,-105.31638536395482
213,50391,-127.20808432346475
214,50582,-120.84156550998557
215,50855,-135.25454300972876
216,51000,-109.76661901359022
217,51139,-115.31011669821254
218,51639,-13.07888645430641
219,52000,-112.94752804169589
220,52164,-119.10373905844799
221,52664,-16.891254692993932
222,52874,-125.77752097298921
223,53000,-104.31750289289965
224,53406,-145.77892328459498
225,53591,-122.0054424917187
226,53854,-132.89250708418956
227,54000,-104.9787373921064
228,54312,-136.38011970326258
229,54666,-144.76664405128093
230,54798,-115.25023478519367
231,54905,-113.71862951222097
232,55000,-105.85130822596551
233,55500,-13.80559749594946
234,55703,-126.50184026080979
235,55837,-116.47610621588157
236,56000,-105.98364517069034
237,56500,-14.369704521002312
238,57000,-113.85202904946752
239,57500,-14.570372275823518
240,58000,-115.648175561179
241,58249,-127.25883445039786
242,58387,-118.09843969293664
243,58887,-15.814067771737957
244,59000,-108.73323260792922
245,59500,-14.776172904992677
246,60000,-115.70572218285398
247,60243,-121.33614453050608
248,60425,-121.01830810981946
249,60606,-121.03469222978092
250,61000,-110.95013052102132
251,61211,-122.19427491733383
252,61433,-125.49796050813066
253,61784,-138.9745075062586
254,62000,-107.79832871970085
255,62291,-133.26181630006215
256,62625,-138.42301005816117
257,63125,-13.000187562801722
258,63400,-123.72782528761783
259,63900,-53.95616180289805
260,64000,-103.9831770581611
261,64284,-131.98954405535136
262,64784,-37.99291723659188
263,65000,-126.5984427548699
264,65337,-140.13598521338602
265,65493,-116.63930747733609
266,65631,-115.90337408695078
267,65933,-130.6533652988347
268,66000,-103.01622679281282
269,66162,-121.00063790613142
270,66662,-38.955740719880914
271,66969,-139.4721062445874
272,67000,-102.75949425693807
273,67170,-117.09055617265325
274,67640,-155.36889738922125
275,67913,-166.11469036637033
276,68000,-116.01135653805035
277,68374,-144.56774267686015
278,68554,-120.67632671156792
279,68749,-118.85238769190877
280,69000,-129.290501646802
281,69465,-125.82287158772925
282,69655,-122.90919819348075
283,69820,-116.59129716335472
284,70000,-118.52796670276761
285,70435,-133.9934414777575
286,70724,-132.5530630036814
287,70904,-122.51364509951352
288,71000,-103.2676636141951
289,71442,-121.88517619271927
290,71665,-122.58552536883496
291,71841,-116.50957524525732
292,72000,-114.80110744171523
293,72173,-120.15477898577436
294,72673,-35.30586071781945
295,73000,-113.68577131601388
296,73212,-122.7319905152591
297,73712,-38.45361284276232
298,73996,-133.29206145515192
299,74000,-100.93760027032437
300,74500,-50.26452523594652
301,74905,-149.8417783149238
302,75405,-51.46864470018342
303,75905,-12.680265447099877
304,76000,-112.77194233869272
305,76191,-116.18259086092112
306,76566,-140.40782301345658
307,76715,-138.35781345292952
308,77000,-134.27597782748632
309,77324,-120.81712734089041
310,77434,-132.44424127854882
311,77604,-118.98054407081158
312,77861,-129.6834865542545
313,78000,-126.38143036259596
314,78500,-128.71457787187512
315,78833,-133.2674998311043
316,79333,-11.979967589608918
317,79768,-139.1197099263911
318,80000,-107.57397756644902
319,80324,-133.9431560877866
320,80517,-118.57936833205898
321,80777,-126.36585163258545
322,81000,-115.29662517902206
323,81500,-50.7067987912046
324,81774,-127.79611114242502
325,82274,-57.71808530386973
326,82774,-13.340964701324479
327,82940,-115.81432441303073
328,83000,-103.11509211303698
329,83201,-119.18506568815339
330,83670,-119.2108128200193
331,84000,-114.33709301340424
332,84226,-123.95484644587688
333,84552,-135.8159290800374
334,85000,-111.29245340252201
335,85500,-9.900533822087949
336,85734,-123.6714962579973
337,86234,-9.942596855340794
338,86734,-12.445798534200481
339,87000,-105.95619986235565
340,87500,-9.341217959270889
341,88000,-110.16483289280539
342,88500,-36.13117303286376
343,89000,-109.87050679738232
344,89251,-127.63103774240577
345,89487,-123.60000332003935
346,89868,-140.32222091442642
347,90000,-103.37068095702001
348,90500,-10.225349239332997
349,91000,-127.79770919339579
350,91393,-142.82150747169575
351,91893,-9.880088782753315
352,92000,-109.43847961671256
353,92500,-9.035585674463041
354,93000,-108.44205126585337
355,93500,-11.572519134240784
356,94000,-109.81763481012156
357,94285,-127.89394197083823
358,94744,-149.64201221280354
359,95000,-105.0260727753723
360,95500,-32.843880758926964
361,95913,-194.1302576985617
362,96413,-32.105431121057265
363,96913,-9.565389196491132
364,97248,-170.9287752927312
365,97748,-42.957152208382325
366,98000,-106.98119372353305
367,98500,-9.59383648649739
368,99000,-110.58230732391048
369,99417,-144.77233787840558
370,99917,-11.334935041809437
371,100000,-102.87518512977552
372,100230,-129.31480405404923
373,100730,-29.745106022919543
374,101000,-104.24471738199368
375,101231,-116.54342172394179
376,101527,-129.73964874453137
377,102000,-108.40603751118523
378,102500,-31.69592722187103
379,103000,-8.287563836197
380,103500,-8.056348676018874
381,104000,-128.07072636658694
382,104500,-7.52355286866904
383,105000,-35.322135340667344
384,105500,-7.810529055931584
385,106000,-131.68519628413273
386,106350,-137.1935376425178
387,106601,-124.3514416368817
388,106807,-119.21185583535633
389,107000,-103.77639898941322
390,107500,-7.085461200482965
391,107822,-134.88603995559893
392,108000,-102.82118470929244
393,108225,-120.87423664837046
394,108433,-120.63779843520472
395,108681,-127.59247585994672
396,109000,-118.37491961879749
397,109500,-6.060696715521286
398,109850,-121.2583701746738
399,110000,-113.06791868549384
400,110317,-131.08861707656618
401,110817,-7.843493964763112
402,111000,-116.95543430620948
403,111249,-127.10376780752154
404,111703,-147.6309752982454
405,112000,-115.27641160215346
406,112500,-7.1700811988341036
407,112722,-118.7016566685588
408,113222,-33.77911565148054
409,113722,-6.763269792537962
410,113930,-149.806921443716
411,114080,-139.5214079155508
412,114580,-8.686193304627317
413,115080,-76.60023144690594
414,115580,-7.467506502329333
415,115781,-118.57324232929365
416,116000,-108.16212427547819
417,116500,-48.77831130006854
418,117000,-134.45131724194982
419,117500,-83.26454834188884
420,118000,-107.56753196675737
421,118125,-127.36179374209189
422,118383,-168.49346732525788
423,118883,-7.542582278737455
424,119000,-107.34364636531136
425,119500,-8.008890516132515
426,120000,-107.02647435176812
427,120500,-113.55161870660497
428,121000,-196.74766495377258
429,121239,-123.62852430915248
430,121511,-124.43360579245768
431,121718,-115.88327648795254
432,122000,-104.54698773020675
433,122487,-217.2647368820667
434,122806,-127.9324346278645
