episode,timestep,raw_reward
1,1,-100.90275051773219
2,6,-101.6945352726694
3,21,-102.8986397935043
4,36,-101.71539839045978
5,42,-101.80620149195133
6,50,-101.51702779863707
7,58,-101.81687459058726
8,67,-100.42797895794261
9,83,-102.16999982902908
10,102,-103.69499506250716
11,108,-101.09267848597828
12,111,-100.39956259520916
13,124,-102.66846016809687
14,131,-100.6230910115359
15,142,-102.23404163767853
16,147,-100.73328374944553
17,152,-101.92801643240563
18,199,-107.34760437934298
19,205,-101.69306692115005
20,221,-103.86474628412185
21,233,-100.83954745811322
22,240,-101.61956716967639
23,244,-100.49609096621084
24,249,-101.32304671334036
25,252,-100.46854137019754
26,259,-101.35843096607813
27,264,-101.26114775490521
28,268,-101.70724645667937
29,285,-102.92151961974109
30,291,-101.46488092003436
31,296,-100.9207247733535
32,300,-101.65866065116055
33,307,-101.79813021529787
34,313,-101.75421049770135
35,323,-101.91744427325379
36,330,-101.36237831807506
37,336,-101.62778590613966
38,341,-101.0265845859076
39,344,-101.01858250419717
40,353,-101.09561153455245
41,362,-101.83209466891788
42,369,-101.28553580762569
43,374,-101.59207623563091
44,388,-102.06821319303386
45,391,-100.50321607829036
46,397,-101.04990241549291
47,405,-102.0513719269485
48,410,-101.28840475927063
49,417,-100.7012478850209
50,420,-100.95876099508615
51,423,-100.50786938332818
52,429,-101.2510703628938
53,435,-101.69101118448253
54,440,-101.35441932631072
55,452,-101.32294622724558
56,458,-101.75567363206942
57,487,-102.62140226587215
58,496,-101.71541422134989
59,501,-101.5252958749797
60,508,-102.1334735728188
61,518,-101.55767236075498
62,532,-102.30251595401204
63,540,-101.42319119071696
64,613,-109.99931377058725
65,636,-103.29037234262533
66,654,-102.87531965448498
67,675,-102.97858731988553
68,714,-105.30275256118104
69,728,-103.64644607305996
70,823,-120.57321929983904
71,910,-127.23288418707664
72,945,-105.34891479736261
73,988,-106.3135212766236
74,1000,-100.76935333283161
75,1036,-109.79602842171673
76,1064,-106.2026124509727
77,1099,-104.78403417300996
78,1204,-119.81020382561789
79,1395,-132.86954341693647
80,1434,-104.94316741645096
81,1546,-117.25517230515149
82,1560,-102.80481337632969
83,1625,-108.13087127541493
84,1662,-104.7175089769598
85,1696,-103.7947472026601
86,1818,-116.96428441228257
87,1893,-111.93735572492648
88,2000,-106.98388083796502
89,2055,-109.883148478081
90,2241,-131.57024018761072
91,2293,-105.02196469700083
92,2324,-105.99740729086929
93,2415,-107.71005087682776
94,2473,-104.15052243054677
95,2537,-108.54763631293916
96,2600,-108.57092677923504
97,2671,-106.17720921473118
98,2738,-106.94365600507928
99,2788,-105.06080963628065
100,2857,-114.15361949889588
101,2969,-117.29429453745115
102,3000,-103.92004975399686
103,3044,-108.7037078775251
104,3174,-108.08765946540053
105,3240,-112.92313818293623
106,3397,-110.27277361424848
107,3453,-108.30022249024765
108,3495,-106.84068277894846
109,3578,-107.30182109259414
110,3772,-110.71839100774353
111,3828,-107.1785989936902
112,3915,-122.64799551034085
113,4000,-102.91608781168507
114,4226,-137.6264792969949
115,4333,-114.20253005004214
116,4382,-108.93871580774959
117,4446,-107.19429040164998
118,4501,-109.06974045617143
119,4625,-114.85190077563944
120,4684,-108.02029506940501
121,4742,-106.36276441091182
122,5000,-118.49575491585513
123,5197,-135.52227141601028
124,5259,-112.10368365304467
125,5310,-109.96852816058632
126,5376,-114.71923111290789
127,5680,-152.7836688445393
128,5902,-139.28905367752265
129,6000,-113.27431290483385
130,6126,-121.89546678764
131,6253,-122.9915159424954
132,6382,-133.52671084908576
133,6465,-116.89640537909602
134,6561,-116.367470496967
135,6809,-136.47426392868152
136,6902,-113.69739585476296
137,6960,-109.17465174289487
138,7000,-104.78489419187545
139,7092,-116.59520557201331
140,7202,-118.39035218815052
141,7408,-134.02207275727724
142,7540,-122.6792361482105
143,7610,-115.05001937944063
144,7927,-157.36600155370064
145,8000,-106.12027902493007
146,8298,-148.08438761070784
147,8561,-145.24197029623167
148,8705,-143.25569973211628
149,8793,-114.29508002348923
150,9000,-112.87451677366226
151,9096,-122.79670055689458
152,9194,-119.70106862419595
153,9611,-175.82071990215246
154,9870,-146.54128421223353
155,9953,-114.3658558538973
156,10000,-105.79168321883549
157,10070,-116.619240392654
158,10203,-128.09374966090994
159,10703,-39.39697080033839
160,10855,-133.00851473584257
161,11000,-113.52396149400128
162,11114,-117.71963836633856
163,11614,-64.6835361680733
164,11669,-108.51505630967104
165,11917,-114.91487011222299
166,11949,-105.36500628599313
167,12000,-103.21492387699637
168,12124,-125.71014422526764
169,12540,-172.5062488181262
170,12684,-120.87791445897759
171,12945,-115.92731408424414
172,13000,-100.67183628128005
173,13064,-111.82567862021789
174,13327,-146.175315604646
175,13716,-182.34015389790363
176,13977,-123.36871355104259
177,14000,-100.88945066460671
178,14216,-114.61011569301532
179,14401,-111.9927821667396
180,14901,-78.44128252410428
181,15000,-107.42991912915238
182,15199,-116.19473148398139
183,15356,-112.47015682977737
184,15485,-113.5370540453479
185,15641,-121.47871693921249
186,15829,-117.33798766603353
187,15967,-113.98793578339048
188,16120,-114.10368842197258
189,16214,-116.51300011863093
190,16295,-113.56562384352398
191,16444,-113.69228262172534
192,16532,-115.7261400623367
193,16690,-111.41743555209757
194,16781,-114.39610137407523
195,17000,-119.79430224513736
