episode,timestep,raw_reward
1,1,-100.6857105988692
2,40,-104.08622351112078
3,46,-100.94497788155735
4,71,-102.44487290572842
5,82,-101.95301219692466
6,98,-102.68838269580058
7,109,-102.1875119795881
8,114,-101.21729466529769
9,140,-104.53258115564213
10,149,-102.07575346243327
11,174,-102.57236739492878
12,180,-101.67192333905501
13,197,-102.81137064173645
14,207,-101.99012644674364
15,213,-101.30818491273035
16,224,-101.78118769958002
17,238,-102.20046668544518
18,242,-101.00983738105694
19,249,-101.85462610648415
20,253,-101.49712400945961
21,258,-101.36166476001264
22,271,-101.55809578008613
23,282,-101.60616735432929
24,285,-100.75956221318222
25,295,-101.63042297832921
26,304,-101.69168327494592
27,314,-101.71330719200392
28,376,-108.69621649727998
29,382,-100.9827474063572
30,388,-100.62051984927012
31,411,-102.39052175992822
32,430,-102.10148561551162
33,441,-100.64383391361068
34,448,-100.60838463728813
35,452,-101.42670773662266
36,460,-101.85188084693573
37,474,-102.3064733824589
38,484,-101.93225849905527
39,487,-101.19664951042769
40,503,-103.76030013251282
41,514,-100.96846597314281
42,523,-102.1293495744784
43,544,-102.84201970646421
44,555,-102.08046871536584
45,561,-101.34876664920127
46,566,-101.37967164799922
47,585,-102.84160018255713
48,594,-101.85413784835255
49,598,-100.86717307729451
50,609,-101.83529081815264
51,629,-102.57128274129846
52,638,-101.73382312011844
53,646,-102.00676060786354
54,652,-101.92676998987571
55,672,-102.56744086253654
56,682,-101.81358580551789
57,685,-100.35323423137632
58,698,-101.99327893501723
59,712,-101.98071784987847
60,723,-102.22110789871334
61,737,-102.26856409366273
62,757,-103.66349409387513
63,761,-100.78254992358485
64,781,-103.11958457039874
65,790,-101.65791751464162
66,800,-102.27587502479881
67,803,-100.24956784282743
68,807,-100.8521772775229
69,812,-101.08885230505953
70,825,-102.1389958897586
71,842,-103.0406740145668
72,848,-101.78895314907048
73,859,-102.37146869856697
74,866,-101.92902001181956
75,871,-101.38425092377611
76,889,-102.77604079896545
77,897,-101.19461967023474
78,900,-100.80115727723575
79,907,-100.55595053954463
80,912,-101.33202041913115
81,923,-101.85531683491352
82,931,-101.7448602524184
83,944,-102.03512430885776
84,951,-100.64959070391807
85,1000,-109.65502107748956
86,1009,-101.76109462287548
87,1032,-101.42411018576448
88,1041,-101.18939995571833
89,1062,-101.32562118395866
90,1073,-101.74759765516075
91,1080,-101.62474742360656
92,1085,-101.22439010089859
93,1089,-101.07292307859099
94,1097,-101.29024908971348
95,1107,-101.39778643289529
96,1118,-101.65443507163396
97,1125,-101.02146564985681
98,1129,-100.73395797308025
99,1133,-101.69289769740652
100,1139,-100.86737680405541
101,1144,-101.11528930582591
102,1148,-101.72589914971587
103,1153,-100.82978029752864
104,1156,-100.82451033466782
105,1160,-100.61533249432398
106,1163,-101.08272074769435
107,1167,-100.98043208708687
108,1170,-100.94306782805666
109,1174,-100.63970291314689
110,1177,-101.0649714286584
111,1180,-101.02196218647248
112,1183,-100.72934501847018
113,1187,-100.56334730890234
114,1191,-101.20950388251538
115,1196,-100.7826765738072
116,1200,-100.8867792569782
117,1204,-100.74720262378023
118,1209,-100.94996535100964
119,1214,-100.60167532259246
120,1218,-101.06126554475212
121,1222,-100.88986109393785
122,1227,-101.56200540608918
123,1481,-110.80587201683574
124,1736,-106.4561986716878
125,1813,-103.77543949136192
126,1833,-102.15135573375241
127,1843,-101.66451274664946
128,1852,-101.87760288586281
129,1884,-102.52369473892932
130,1893,-101.41491091610305
131,1902,-101.50874382810609
132,1912,-101.75032518369771
133,1922,-101.68159121223572
134,1930,-101.5884723981236
135,1939,-101.65750926463832
136,1967,-102.46086158529617
137,1976,-101.90451861400727
138,1997,-102.22335042605202
139,2000,-100.85048098867907
140,2010,-101.77646748463916
141,2020,-101.74698398810933
142,2030,-101.67985295690902
143,2217,-105.61552043759241
144,2285,-102.76046013722163
145,2326,-102.68312776712916
146,2336,-101.8416208362331
147,2345,-101.56627594106119
148,2354,-101.52081929622877
149,2395,-102.46265813189446
150,2407,-101.64141963009065
151,2418,-101.96479046100637
152,2528,-103.44900908121483
153,2540,-101.68940502775128
154,2555,-101.55778690004641
155,2613,-103.01893334479801
156,2623,-101.7079019090922
157,2936,-105.79674831972288
158,3000,-101.34352656097168
159,3500,-19.69153292307181
160,3560,-102.26076912523182
161,3575,-101.90715708659214
162,3611,-102.40083603801128
163,3630,-102.13578203314226
164,3657,-103.80230123499402
165,3687,-102.18471621904749
166,4000,-109.5418950708037
167,4077,-104.28664295810817
168,4090,-101.59950343895979
169,4199,-107.31713391773333
170,4272,-104.97456528215992
171,4302,-103.43107349780765
172,4382,-102.82485659870737
173,4398,-101.70606394352399
174,4412,-101.95514467262576
175,4468,-102.7930155901459
176,4580,-105.75165161649605
177,4669,-103.18991585336944
178,4892,-107.7951957421335
179,5000,-105.10101094885286
180,5218,-141.2923284791169
181,5239,-102.42363794047496
182,5364,-102.89774035138647
183,5396,-103.21707576545562
184,5425,-103.22468796999563
185,5454,-103.10588911829413
186,5782,-124.99811634557209
187,6000,-103.67069332460366
188,6177,-117.99381823012585
189,6315,-108.91135461312513
190,6495,-110.54369210108706
191,6738,-123.2809598149986
192,7000,-123.74869012014295
193,7048,-102.5956396231857
194,7145,-102.42145344755399
195,7179,-106.19674780872299
196,7408,-122.50570845367129
197,7451,-103.80217025411935
198,7606,-116.1528320201545
199,7701,-108.56321577755278
200,7742,-102.55355582238343
201,7783,-110.50509463652693
202,7878,-110.39907913521043
203,7912,-108.31080634693494
204,8000,-104.07615013975608
205,8219,-144.90735893912523
206,8264,-110.86386252709389
207,8295,-102.68588286037588
208,8389,-104.2450795818185
209,8628,-112.82263106202171
210,8743,-102.64333100641343
211,8825,-107.67809298097373
212,9000,-123.11104230164366
213,9056,-102.77488717458341
214,9193,-104.29049371754334
215,9298,-128.54519734378934
216,9382,-104.58405937307084
217,9412,-106.66945928787348
218,9467,-104.55770667734483
219,9494,-106.97253125420072
220,9583,-103.85902958388324
221,9671,-122.62337652072759
222,9820,-138.2644581411506
223,9843,-104.95711274847272
224,10000,-107.60963079066781
225,10032,-107.09787478558049
226,10090,-104.13478645612055
227,10265,-146.63985195097527
228,10299,-108.44117616974398
229,10361,-116.38475809877272
230,10861,-39.007021226131336
231,10932,-102.50981852505382
232,11000,-109.01474978275832
233,11032,-104.50873700253973
234,11065,-106.71246715396619
235,11565,-59.30993231065251
236,11709,-107.58859046149841
237,11737,-105.10801005324845
238,11871,-112.75369025852558
